,move_00,move_1,rotate_angle,gACT,gMOD,gGTO,gSTA,gIMC,gFLT,gPRE,tcp_force,success,isDoll
2080,"p[-0.320759,-0.0822584,0.52,-0.3,3.14,0]","p[-0.487703,0.205095,0.52,-0.3,3.14,0]",-0.209762,1,0,1,3,3,0,255,"p[-11.0663,-11.3887,11.6274,-0.291896,-2.58037,-0.453657]",0,1.0
2081,"p[-0.547201,-0.189412,0.52,-0.3,3.14,0]","p[-0.649505,0.0864535,0.52,-0.3,3.14,0]",1.05286,1,0,1,3,3,0,255,"p[-26.2811,-8.9671,21.162,0.721657,-5.80465,-1.98238]",0,1.0
2082,"p[-0.483814,0.235287,0.52,-0.3,3.14,0]","p[-0.33974,-2.73949e-05,0.52,-0.3,3.14,0]",-0.721465,1,0,1,1,3,0,255,"p[-9.13031,-12.8277,8.03793,1.86757,-1.47469,-0.480876]",0,1.0
2083,"p[-0.431909,-0.0942107,0.52,-0.3,3.14,0]","p[-0.565209,0.256501,0.52,-0.3,3.14,0]",-0.372827,1,0,1,2,3,0,255,"p[-26.0851,2.0152,20.3444,-1.63454,-4.12909,-0.808221]",1,1.0
2084,"p[-0.561748,-0.0819294,0.52,-0.3,3.14,0]","p[-0.574731,0.116605,0.52,-0.3,3.14,0]",0.223142,1,0,1,3,3,0,255,"p[-24.857,-10.9107,18.1683,0.988331,-5.83673,-1.51319]",0,1.0
2085,"p[-0.435571,0.0820872,0.52,-0.3,3.14,0]","p[-0.320767,0.247507,0.52,-0.3,3.14,0]",0.386961,1,0,1,3,3,0,255,"p[-21.9315,-5.84051,14.3696,-0.388096,-3.07317,-2.03004]",0,1.0
2086,"p[-0.539468,-0.0874374,0.52,-0.3,3.14,0]","p[-0.402537,-0.169604,0.52,-0.3,3.14,0]",-0.0618803,1,0,1,2,3,0,255,"p[-4.78702,-23.4048,18.0107,3.19503,-3.09642,-2.69146]",1,1.0
2087,"p[-0.619986,0.181655,0.52,-0.3,3.14,0]","p[-0.635095,-0.132248,0.52,-0.3,3.14,0]",-2.41509,1,0,1,3,3,0,255,"p[-22.3199,-13.0216,18.1184,0.870326,-3.59846,-1.49983]",0,1.0
2088,"p[-0.363144,0.143683,0.52,-0.3,3.14,0]","p[-0.520183,0.171942,0.52,-0.3,3.14,0]",-0.219839,1,0,1,3,3,0,255,"p[-21.1514,-5.07535,19.0176,-0.530887,-3.46699,-0.27645]",0,1.0
2089,"p[-0.494306,0.00542684,0.52,-0.3,3.14,0]","p[-0.320189,0.17845,0.52,-0.3,3.14,0]",1.61619,1,0,1,1,3,0,255,"p[-18.5362,-2.44025,24.365,-1.23524,-5.01384,-0.625138]",0,1.0
2090,"p[-0.557592,0.232438,0.52,-0.3,3.14,0]","p[-0.43483,-0.0732834,0.52,-0.3,3.14,0]",-1.04071,1,0,1,1,3,0,255,"p[-2.89211,-16.8061,4.79804,2.6478,-0.339653,-0.276982]",0,1.0
2091,"p[-0.437077,0.191203,0.52,-0.3,3.14,0]","p[-0.616794,-0.125501,0.52,-0.3,3.14,0]",-1.23928,1,0,1,3,3,0,255,"p[-12.1059,-11.6534,10.7459,0.720231,-3.54759,-1.26793]",0,1.0
2092,"p[-0.565337,-0.0796371,0.52,-0.3,3.14,0]","p[-0.470514,0.176628,0.52,-0.3,3.14,0]",0.582168,1,0,1,2,3,0,255,"p[-21.3121,-10.502,17.3114,-0.184855,-3.025,-0.640291]",1,1.0
2093,"p[-0.669123,-0.0882299,0.52,-0.3,3.14,0]","p[-0.34077,0.0133652,0.52,-0.3,3.14,0]",-1.51234,1,0,1,2,3,0,255,"p[-15.8753,-16.5605,16.9634,1.66904,-3.82108,-0.319267]",1,1.0
2094,"p[-0.576374,-0.171387,0.52,-0.3,3.14,0]","p[-0.325953,-0.0250999,0.52,-0.3,3.14,0]",0.890112,1,0,1,2,3,0,255,"p[-8.65615,-18.2372,11.6906,1.86744,-2.6972,-0.364415]",1,1.0
2095,"p[-0.370592,0.215364,0.52,-0.3,3.14,0]","p[-0.671367,0.0189006,0.52,-0.3,3.14,0]",0.78032,1,0,1,2,3,0,255,"p[-42.628,-2.41052,29.494,0.649716,-6.30676,-0.932769]",1,1.0
