,move_00,move_1,rotate_angle,gACT,gMOD,gGTO,gSTA,gIMC,gFLT,gPRE,tcp_force,success
6972,"p[-0.377363,-0.356512,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499941,-1.50956,2.68361,-6.2109e-05]",-1.73973,1,0,1,3,3,0,255,"p[-11.7356,-18.1075,6.51845,2.5686,-1.91663,1.10291]",0
6973,"p[-0.440045,-0.262078,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499969,-1.50968,2.68373,8.03379e-05]",-0.773489,1,0,1,3,3,0,255,"p[-11.1197,-21.3662,6.63457,2.50793,-1.14802,0.259271]",0
6974,"p[-0.410443,-0.436381,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499977,-1.50972,2.68373,-0.000115753]",1.60154,1,0,1,3,3,0,255,"p[-9.10713,-23.7873,5.79809,2.08858,0.0155495,-0.750355]",0
6975,"p[-0.559675,-0.316284,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.50005,-1.50961,2.68383,-1.98951e-05]",0.0526433,1,0,1,3,3,0,255,"p[-8.83393,-23.928,8.22212,3.29582,-1.05795,-1.10431]",0
6976,"p[-0.524334,-0.306471,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500002,-1.50961,2.68376,-9.20357e-05]",1.97724,1,0,1,3,3,0,255,"p[-9.34752,-24.5628,5.95265,2.18731,-0.111348,-1.28021]",0
6977,"p[-0.431014,-0.192411,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499964,-1.50974,2.68366,-0.000125081]",0.283474,1,0,1,3,3,0,255,"p[-8.0449,-21.5225,3.31953,2.01939,0.501643,-0.652172]",0
6978,"p[-0.467382,-0.406654,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499947,-1.50955,2.68364,0.000174127]",0.79227,1,0,1,3,3,0,255,"p[-8.85154,-24.6579,6.87006,2.74269,-0.530163,-1.33439]",0
6979,"p[-0.47367,-0.209862,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500033,-1.50978,2.68379,-0.000121613]",2.64861,1,0,1,3,3,0,255,"p[-5.23637,-24.1992,6.72552,3.08646,-0.70938,-2.50126]",0
6980,"p[-0.363495,-0.241395,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499992,-1.50959,2.68376,-6.30538e-05]",-1.65003,1,0,1,3,3,0,255,"p[-8.3792,-20.4629,6.18167,2.89074,-1.07948,-0.422338]",0
6981,"p[-0.270396,-0.379302,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500002,-1.50973,2.68382,-0.000155489]",-1.43752,1,0,1,3,3,0,255,"p[-8.0938,-22.5794,5.79508,2.99178,-0.808562,0.627326]",0
6982,"p[-0.381145,-0.397152,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500026,-1.50975,2.68379,-0.000261373]",-1.18859,1,0,1,3,3,0,255,"p[-11.2586,-22.024,8.34036,3.13899,-1.495,0.456452]",0
6983,"p[-0.405985,-0.521298,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500019,-1.50965,2.68374,-0.000211369]",-2.71119,1,0,1,3,3,0,255,"p[-10.0073,-28.055,11.4614,4.2791,-1.88822,-1.07427]",0
6984,"p[-0.366065,-0.234077,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499959,-1.50986,2.6836,4.37317e-05]",-1.98237,1,0,1,3,3,0,255,"p[-11.3163,-23.3164,8.68327,3.11416,-1.78413,-1.23792]",0
